preferredLabel,description,broaderConceptPT
data engineering,The process of developing and constructing systems for implementing data collection and analysis at large scale.,computer use
microsystem test procedures,"The methods of testing the quality, accuracy, and performance of microsystems and microelectromechanical systems (MEMS) and their materials and components before, during, and after the building of the systems, such as parametric tests and burn-in tests.",computer use
attack vectors,"Paths or methods that threat actors use to exploit vulnerabilities in information networks or systems from a concrete organisation and impact its availability, integrity and confidentiality. Attack vectors may include social engineering tactics such as phishing mails or pretexting, technical exploits as SQL injection as well as buffer overflow attacks.",computer use
blockchain applications,"The knowledge of applications where blockchains can provide significant added value. They include applications in Banking and Finance (International Payments, Capital Markets, Trade Finance, Regulatory Finance and Audit, Money Laundering Protection, Insurance, Peer-to-Peer Transactions) and Business (Supply Chain Management, Healthcare, Real Estate, Media, Energy), Government (Identity Management, Voting, Taxes, Non-Profit Agencies, Compliance/Regulatory Oversight).",computer use
automatic control system,"Set of interconnected mechanisms and components, such as controllers or sensing elements, that use programming logic to automate the operation and behaviour of a process or system without a continuous human intervention, to achieve a desired performance such as stability.
",computer use
ICT help platforms,The platforms for delivering help systems for operating systems.,computer use
core banking software,"The selection of software for core banking activities management (e.g. deposits, payments, loans, bank transactions, customer data) and other functions related to banking.",computer use
microprocessors,Computer processors on a microscale that integrate the computer central processing unit (CPU) on a single chip.,computer use
web application security threats,"The attacks, vectors, emergent threats on websites, web applications and web services, the rankings of their severity identified by dedicated communities such as OWASP.",computer use
human-computer interaction,The study of the behaviour and interaction between digital devices and human beings.,computer use
ICT problem management techniques,The techniques related to identifying the solutions of the root cause of ICT incidents.,computer use
e-commerce systems,"Basic digital architecture and commercial transactions for trading products or services conducted via Internet, e-mail, mobile devices, social media, etc.",computer use
trading software,The finance and trading integrated software solutions.,computer use
specialised astrology software,The software that is used to gather and interpret data on the relevant positioning of celestial objects in order to deduct their influence on human life.,computer use
desktop publishing,The creation of documents using page layout skills on a computer. Desktop publishing software can generate layouts and produce typographic quality text and images.,computer use
audio editing software,The various software for editing and generating audio.,computer use
business ICT systems,"The software packages, hardware devices and new technologies used in supporting business processes such as enterprise resource planning (ERP), customer relationship management (CRM), mobile devices and network solutions.",computer use
office software,"The characteristics and functioning of software programs for office tasks such as word processing, spreadsheets, presentation, email and database.",computer use
authoring software,"The software that provides pre-programmed elements which allow the development of interactive multimedia applications in order to edit, structure and lay out content intended for publication.",computer use
software interaction design,The methodologies for designing interaction between users and a software product or service to satisfy the needs and preferences of most of the people who will interface with the product and to simplify the communication between product and user such as Goal-oriented design.,computer use
ICT environmental policies,"The international and organisational policies which deal with the assessment of the environmental impact of innovations and developments in the field of ICT, as well as with methods for reducing negative impact and applying ICT innovations to aid the environment.",computer use
Internet of Things,"The general principles, categories, requirements, limitations and vulnerabilities of smart connected devices (most of them with intended internet connectivity).",computer use
ICT power consumption,The energy consumption and types of models of software as well as hardware elements.,computer use
microchip scanners,"The different types of scanners available, their limitations, and how to prepare, use and maintain them; the environmental constraints of using a scanner, including what external factors can affect the reading of a microchip, e.g. metal collars, proximity to computer screens etc.",computer use
computational fluid dynamics,"The principles of computer-manipulated fluid mechanics, which determines the behaviour of fluids in motion.",computer use
computational fluid dynamics,"The principles of computer-manipulated fluid mechanics, which determines the behaviour of fluids in motion.",fluid mechanics
proxy servers,The proxy tools which act as an intermediary for requests from users searching for resources e.g. files and web pages from other servers,computer use
proxy servers,The proxy tools which act as an intermediary for requests from users searching for resources e.g. files and web pages from other servers,ICT infrastructure
computer equipment,"The offered computers, computer peripheral equipment and software products, their functionalities, properties and legal and regulatory requirements.",computer use
computer equipment,"The offered computers, computer peripheral equipment and software products, their functionalities, properties and legal and regulatory requirements.",product comprehension
search databases,Search for information or people using databases.,conduct web searches
search databases,Search for information or people using databases.,"browsing, searching and filtering digital data"
search databases,Search for information or people using databases.,"evaluate data, information and digital content"
search databases,Search for information or people using databases.,use databases
carry out research on ground systems,"Conduct research on ground systems and hardware; research the fields of encryption, networking, and mass storage.",conducting academic or market research
identify market requirements for ICT documentation,"Conduct research and analyse the specific documentation requirements of the markets (for instance language, applicable standards or legal requirements and cultural conditions) and derive concrete specifications for ICT documentation development.",conducting academic or market research
conduct clinical software research,"Oversee and undertake the necessary research to succesfully purchase, design, develop, test, train and implement software regarding clinical care and according to health plans guidelines.",conducting academic or market research
research website users,Record and analyse website traffic by distributing surveys or using e-commerce and analytics. Identify the needs and preferences of target visitors in order to apply marketing strategies to increase website traffic.,conducting academic or market research
